Sigma,Lambda,Eta,Thickness,Spacing
30,0.2,6,4.136494595,14.01617956
30,0.2,7,3.893219506,14.73930587
30,0.2,8,3.412490964,16.61297083
30,0.2,9,3.29229443,17.21338163
30,0.2,10,3.199799029,18.21458633
30,0.2,11,3.193610839,19.94203387
30,0.2,12,3.11815735,20.08512893
30,0.2,13,3.779772303,15.47838626
30,0.2,14,3.583392212,16.06383825
30,0.2,15,3.107474783,23.27558254
30,0.2,16,3.111965713,24.70717201
30,0.2,17,3.012045639,27.54315919
30,0.2,18,3.063323636,30.00000429
30,0.2,19,2.978162177,32.5098505
30,0.2,20,2.976243163,35.37314985
50,0.2,1,8.292965404,8.551734501
50,0.2,2,6.255783318,10.92897249
50,0.2,3,3.592678699,18.60642943
50,0.2,4,5.397592185,12.08834047
50,0.2,5,4.807763058,13.29445485
50,0.2,6,4.390847256,13.98251417
50,0.2,7,4.218732764,14.63034021
50,0.2,8,3.942789731,15.84414065
50,0.2,9,3.804366349,16.29098713
50,0.2,10,3.760106369,17.31110943
50,0.2,11,3.492079546,19.59432539
50,0.2,12,3.437096957,21.31721116
50,0.2,13,3.361073549,22.30211584
50,0.2,14,3.343801925,23.66456801
50,0.2,15,3.287887128,24.78280965
50,0.2,16,3.179984168,26.17607934
50,0.2,17,3.270314198,28.09598861
50,0.2,18,3.212550121,31.44538577
50,0.2,19,3.256397134,33.06172115
50,0.2,20,3.102867044,32.77579609
30,0.1,0.01,47.08341746,2
30,0.1,0.05,33.10861652,2.006927376
30,0.1,0.09,29.72138067,2.041512331
30,0.1,0.13,27.82470101,2.322171417
30,0.1,0.17,26.9344631,3.11790034
30,0.1,0.21,26.68968886,4.408996841
30,0.1,0.25,24.65201374,5.650481383
30,0.1,0.29,25.04840873,6.63657743
30,0.1,0.33,23.34368662,7.756530522
30,0.1,0.37,21.85795686,8.63670206
30,0.1,0.41,22.04015615,9.467893413
30,0.1,0.45,21.25118907,9.962833006
30,0.1,0.49,20.94201044,10.79678139
30,0.1,0.53,20.57773444,11.37688743
30,0.1,0.57,19.77065486,11.90974698
30,0.1,0.61,18.90732055,12.55805114
30,0.1,0.65,19.12237969,12.99732835
30,0.1,0.69,19.0448457,13.15030448
30,0.1,0.73,18.00070009,13.58476137
30,0.1,0.77,17.85838719,14.10743989
30,0.1,1,16.11038309,16.00376751
30,0.1,2,12.02359833,19.73088947
30,0.1,3,9.899785567,21.77580619
30,0.1,4,8.815507586,22.64620469
30,0.1,5,8.033567008,23.95715946
30,0.1,6,7.383127847,24.62619872
30,0.1,7,7.150489264,25.02175379
30,0.1,8,5.914305549,26.92833838
30,0.1,9,5.682388451,26.56843023
30,0.1,10,5.333872311,28.0035543
30,0.1,11,5.364962143,27.64985189
30,0.1,12,5.033480961,27.57674091
30,0.1,13,6.472043154,25.95795768
30,0.1,14,6.179185998,25.91438288
30,0.1,15,5.057115929,28.87131086
30,0.1,16,4.940747495,28.48679712
30,0.1,17,4.725567617,28.29016994
30,0.1,18,4.654833932,29.83864819
30,0.1,19,4.618920755,29.04583588
30,0.1,20,4.363358403,31.40087436
